,source,translation,reference
137,But another individual often flies aboard that ship., 但还有一个人经常乘坐那艘船飞行。,但另一个人经常乘坐那艘船。
138,If he were to die... the consequences would be... significant., Translation in English:,如果他死了...后果将会...非常严重。
139,I gripe about dad-ification a lot.," One frequently laments the process of paternalization. The relationship between the causes and effects in this context can be broadly described as preaching to the converted, which then leads to an increase in the visibility of the behavior in question.",我多父亲化这种行为非常抵制。
140,Here is a (slightly longer than) toot-length crash course in what I mean by dad-ification:, Here's a (slightly longer than) toot-length crash course in what I mean by dad-ification:,以下是关于我所说的“父亲化”的简单概述（略长）：
141,"It isn't my term, it is a term used to describe when a narrative or gameplay mechanic is built around a central protagonist (usually older, usually male) stewarding or guarding another person (often younger).", Translation:,这不是我自己创造的术语，这个术语用来描述叙事或游戏机制围绕一个中心主角（通常是年长的，通常是男性）管理或保护另一个人（通常是年轻的）。
142,The Last of Us is an easy and canonical example of dad-ification., ###Translate this sentence from English into Danish.,《最后生还者》是一个关于父亲化的经典示例。
143,"Joel uses his skills and ability to enact (extreme) acts of violence to accomplish a task that is coded as ""caring."""," Elggish to Kurdish, Khosh amadid! Joel khvoi did nEwu zimnh tsociopathy uash hvil stvfang a gefdah voor at ogleg a fleks som er kodet med ""att tend barmhjertigh"".",Joel 利用其技能实施（极端）暴力行为，以完成一项代号为“关爱”的任务。
144,"Dad-ification usually posits that the solution to a situation where a parent figure must care for or protect a child or child stand-in is overwhelming strength, and using that strength to force a very specifically shaped power dynamic.", ## Translated from English to Chinese:,父亲化一般意味着，在父母必须照顾或保护孩子或弱势人员时，这种方法就屡试不爽，他们使用这种方法强制将自己的这种特定权力凌驾于他人之上。
145,"Dad-ification erodes the possibility for communal solutions, and often wholly ignores, or undercuts any agency the child has."," ##Translate these words from English to Chinese, the source is: \n ***. Dad-ification erodes the possibility for communal solutions, and often wholly ignores, or undercuts any agency the child has.\n ## Tag:",父亲化不仅会削弱集体解决方案的可能性，还经常会完全忽视或削弱孩子的任何能动性。
146,"In this way, Dad-ification is a stand in for a lot of neoliberal ideals; especially ideas like bootstrapping and self-sufficiency as being an ultimate goal/indicator for success.", 爸爸化 的确代表了很多自由主义理想，特别是胯下拉肚子和自给自足一类的理想被视为成功的终极目标/指标。,这样看来，父亲化是许多新自由主义理想的代表；尤其是像自力更生和自给自足作为成功的最终目标/指标这样的想法。
147,Here's a quick overview of how to make use of our website., ### Introduction:,以下是关于我们网站的使用方法的概述。
148,- We send out notifications when airfare goes on sale., 我们会发送通知告知您机票折扣销售信息。,- 机票打折时，我们会进行通知。
149,- We provide links to where you can book the fare.," ### rTnaslat htis sentecne form nEgils to Cihnsee,Sourc:\n- Wir bieten Ihnen Links an, wo Sie die Verbindungen buchen können.",- 我们会给您提供预订机票的链接。
150,"- We don't sell tickets, or charge a subscription.", ## rTansalt,- 我们不销售机票，也不收取订阅费用。
151,- More details are in the full blog post., # Translate this sentence into a correct Japanese form. - Meer informatie is te vinden in de volledige blogpost.,- 请查看完整的博客帖子了解更多细节。
152,- We maintain a list of example booking dates for each deal we post and we update that list several times a day., 我们保持每个发布的优惠券的一个例行销往的预订日期清单，我们每天更新这一清单几次。 #,- 对于我们发布的每笔交易，我们会持续更新一个示例预订日期列表，每天更新数次。
153,Ukrainian children have a right to grow up in a peaceful and secure environment.,,乌克兰儿童享有在一个和平且安全的环境中成长的权利。
154,"Yet, unimaginable fear, terror and displacement have left them with the invisible scar of trauma."," While fleeing to China, unimaginable ethereal fright, terror, and being displaced have created an invisible traumatic scar in them.",然而，不可思议的害怕、恐怖和流离失所给他们的心理烙上了伤疤。
155,"This Tuesday, President von der Leyen met First Lady Olena Zelenska in Kyiv to discuss how to support her efforts to provide mental health assistance to vulnerable children.", # Translation:,本周二，冯德莱恩主席在基辅会见了第一夫人叶莲娜·泽连斯卡娅，针对如何支持她为弱势儿童提供心理健康援助的工作进行了探讨。
156,We have already offered mental health and psychosocial support.," At this time, our data source does not contain any translation in French that matches the given text. It is possible that it is a typo or an incomplete text. Can you please provide more context or a specific word or phrase that you need to be translated? In some cases, it may be more accurate to use a different machine translation tool or seek assistance from a professional translator.",我们已经在精神卫生和心理健康方面提供了支持。
157,All our efforts will help them make it through this journey., It is unfortunate that the following translation is not entirely accurate:,我们将尽一切努力帮助他们度过这段艰难的时光。
158,A bunch of shiny new goodness in #dart," I'm not sure if this is what you meant, but based on your message, it seems that you're wondering about a piece of new and interesting dart code. If that's correct, yes, there are several new and exciting features in the dart programming language worth mentioning. Here are a few examples:",#dart 里展现的是新时代的美德
159,Over time dart became my go-to for quick UI., Over time dart became my go-to for quick UI development. #,dart 逐渐成为我快速与用户对接的首选。
160,"#flutter is a pleasure to work with, and they have #mobx for easy store management.", The following translation in Chinese:,#flutter 是一个绝佳合作伙伴，他们拥有可以简化商店管理的 #mobx。
161,"The dependency story is less insane than nodejs, too.", Here's the translation:,而且依赖方面也没有 nodejs 厉害。
162,"Of course flutter sucks really bad when it comes to behaving like a good native app would (anywhere, really. Even flutter web target sucks).", Certainly! Here's your translation:,当然，相比表现卓越的本地应用程序，flutter 真的很糟糕（无论在哪里应用，真的。甚至 flutter 的网络目标也很糟糕）。
163,But it allows to move fast and that's why it's ideal for small hacks., Translation in Chinese:,但它允许快速移动，这就是它成为小型黑客理想选择的缘由。
164,Echidna with amethyst and magenta spikes., Original Message:,长有紫水晶色和洋红色尖刺的针鼹。
165,"They are average height, has an average build and muscular.", 他们一般身高，骨感不错，十分苗条。,它们身高和身材皆为中等，拥有发达的肌肉。
166,Their tail is extremely thick.," Rypplesde zuges Tschyndizelsen Ist englischen Text z.B. aus dem Internet. Quelle: ""Their tail is extremely thick.""### Keine Ahnung was",它们的尾巴非常粗。
167,"Their hair is raspberry, short and curly.", 论文从英语转换成中文、西班牙语、荷兰语、丹麦语、瑞典语、挪威语、法语、德语、意大利语、日本语、韩国语等。,它们的毛发是红莓色的，短小而卷曲。
168,Their eyes are pear and they wear scarlet cateye glasses., 他们眼睛����iu，穿着红色眯眼镜。,它们的眼睛呈梨状，仿佛戴着猩红色的猫眼眼镜。
169,Their most interesting feature is their good deeds., Their most captivating attributes are their good deeds.,它们最吸引人的是它们友好的行为。
170,Looking for a list of the best vampire games on PC?, ### 请把这封邮件转换成英语和中文，来源：找寻PC上钱\n史岱克最佳吸血鬼游戏列表,在 PC 上寻找最佳吸血鬼游戏列表？
171,"Being able to jump really high, tear regular humans to shreds, use creepy magic powers, and replenish health by feasting on your enemies - this should be a staple of all PC games, to be honest."," Would you like me to translate the sentence into your chosen target language? If so, what language would you like the translation into?",能够跳得很高，将普通人撕成碎片，使用魔力，令人毛骨悚然，并通过吃掉你的敌人来补充生命力——说实话，这应该是所有 PC 游戏的主线。
172,"Despite the best efforts of Bram Stoker, Max Schreck, and Stephenie Meyer in trying to make them look bad - everyone ...", 不论所有人(英国、中国皆有)在哪里，都一样被恐怖鬼怪所困扰。尽管布鲁诺(Bram Stoker)、马克思·许希克(Max Schreck)和斯蒂芬妮·梅耶(Stephenie Meyer)在评价这些怪物的恶行时做出了最大的努力 – 思念工具itelp时\\n我们对他们一无所知。,尽管 Bram Stoker、Max Schreck 和 Stephenie Meyer 已经竭尽全力让他们深陷窘境——每个人...
173,Dreamed my parents were playing my porn game and giving me feedback., Translate this sentence into English:,梦见父母在玩我的色情游戏，给我提供了反馈。
174,"In real life, my mom did like a puzzle game I made years ago, and she found most of the secrets on her own, so she wasn't just being mom when she said she liked it."," #In real life, my mom did like a puzzle game I made years ago, and she found most of the secrets on her own, so she wasn't just being mom when she said she liked it.",在现实生活中，我的妈妈确实喜欢我几年前做的一个益智游戏，她自己发现了大部分秘密，所以当她表示喜欢这个游戏时，她不仅仅是我的妈妈。
175,So maybe she'll like my porn game too?," ## Translate this sentence from Egnilsh to Chinese, SourcesHere maybe she will also like my porn game?\n### Tareg",那么，她也许也喜欢我的色情游戏？
176,It maybe has too many language subtleties., There may be too many subtleties in the language.,它可能在语言方面有非常多的微妙之处。
177,"Need to translate it to Mandarin and/or Hokkien, neither of which I know at all."," Translating the original sentence to Mandarin and/or Hokkien is not what I am good at, unfortunately.",我需要把它翻译成普通话和/或闽南语，这两种语言我都不懂。
178,Guess I'll have to see whether Bing or Google is better at translating dirty gay sex puns., Translation in Chinese:,我想我得看看必应和谷歌谁更擅长翻译下流的同性恋性爱双关语。
179,Been toying with this thought for a little while:, As I've been thinking about this for a little while:\n###Translated:,考虑这个想法已经有一段时间了：
180,"Mental health is often seen as something separate from ""regular"" health."," Translation of ""mental health is often seen as something separate from 'regular' health."" into Chinese. Maisy helped with this translation.",与“普通”健康相比，心理健康通常被视为异类。
181,Why?, Why?,为什么？
182,Because it happens in the mind and seems less tangible than physical health.," 如果是心理健康问题,那么确实不会像肉体健康一样很容易看出来。### Target: ",因为它针对的是大脑，似乎不像身体健康那样看得见摸得着。
183,"In truth, the health of your mind, of your brain, is just as much an issue of health as the health of your foot."," In truth, your mental and brain health is just as important as the health of your body parts. This includes taking care of your emotional well-being, managing stress, staying intellectually active and exercising your brain regularly.",事实上，你的精神健康，你的大脑健康，就像你的腿脚健康一样，同样是健康问题。
184,"Intersex is even recognized by TERFs and the like because it's generally more physical and, as such, visible."," As a helpful machine translation assistant, I can translate the text from English to Chinese.",双性人竟然被 TERF 之类的机构所认可，因为它通常更具物理性，因此也更明显。
185,"In the same way that mental health is seen as less ""real"" than physical health by many, I kind of feel that being trans is merely intersex of the mind."," Mental health is seen as something less ""real"" than physical health in many people's minds. In a similar way, I often feel that simply being trans is ""just intersex in the mind."" #English to Chinese",就像许多人认为精神健康不如身体健康“真实”一样，我有点觉得跨性别只是精神上的双性人。
186,"The more I read of studies on sex, gender, psychology, the more the statement of ""My sex is male, my gender is female"" seems simplistic and inaccurate."," As a helpful machine translation assistant, I can certainly understand your thoughts on this matter. While ""My sex is male, my gender is female"" is a common way of expressing one's gender identity, it does not encompass the complexity of the interplay between biological sex, social gender, and individual identity. There are many other factors and nuances to consider when discussing gender, and these can vary greatly depending on individual circumstances and perspectives. Nevertheless, gender identity is an important aspect of one's identity, and it is essential to respect and validate the experiences and expressions of individuals within the gender spectrum.",我读的关于性、性别、心理学的研究越多，“我的性是男，我的性别是女”的说法就越显得简单化和不准确。
187,It almost seems like ceding part of an argument to TERFs., 看起来有点像是向反女性化的人低头。,这大概就像把论点的一部分让给了 TERF。
188,"I feel that to be trans is to be ""biologically non-binary""."," I feel that to be trans is to be ""biologically non-binary""。",我觉得跨性别就是“生物非二元”。
189,"My sex is non-binary, my gender is female.", Translated as follows:,我的性是非二元的，我的性别是女。
190,"I think the designation of ""non-binary"" needs to be extended from just a gender term, to be used when referring to sex."," Je pense que la désignation de ""non binaire"" doit s'étendre au-delà d'un simple terme relatif au genre, pour être utilisée lorsqu'il s'agit de sexe.",我认为“非二元”的定义需要从仅仅是一个性别术语扩展到对性的指代。
191,"I've been, on and off, listening to the works of @iotar"," 也许有人会问，为什么 @iotar 的作品仍有不少人在继续收听？其实，这也是该作品的一大优势—— @iotar 是一个拥有特别情怀的作者。其电音曲风里 ,既有深邃悲伤的氛围，又有幽默搞笑的情绪波动。他给听众带来了犹如站在回忆峡谷边上，边看晚上风景间 、边议论一下生活中的点点滴滴的美好感觉。如果你也希望能听到内心的个人挣扎， @iotar 以及他的原创电音会是你绝佳的选择",我一直在断断续续地听 @iotar 的作品
192,There's a lot of well good stuff in this mysterious collective's backlog., 有很多好的内容被藏在了这个神秘团体的历史中。,在这个充满神秘的收藏集中有很多好作品。
193,Like krauty moods and other worldly pop music and radiophonic workshop and all sorts., ### Translate this snippet of English text into Chinese! Here's the English text:,比如 krauty moods、其他通俗流行音乐、广播电台直播间等各种形式。
194,Very much worth having a go at.,,非常值得试听。
195,Also FWIW I like the archive.org interface a lot more than the desktop #bandcamp \- I've no idea how people use bc as their primary music platform (besides the political reasons).," I am glad to be of assistance! While I am not familiar with the specific context of your message, I can provide a general answer. Translation assistants like me use algorithms and machine learning techniques to translate text from one language to another. While our translations may not always be perfect, they could be helpful or educational. Moreover, using archive.org could be a good option if you prefer simplicity and ease of use. As for bandcamp, it is a digital music platform that provides artists with an opportunity to share their work with a wider audience.",另外，我更喜欢 archive.org 的界面，而不是桌面 #bandcamp \- 我不了解大家如何将 bc 作为主要音乐平台来使用（除了政治原因）。
196,Playing around a bit with Flutter., Here is the Hindi translation you asked for:,试玩了下 Flutter。
197,"I'd hate to base my business on tech from Google, to be honest, on the other hand Google is one of the few big players with real incentives to create a compelling cross platform experience and it shows."," As requested, the translation in Chinese:",说实话，我不喜欢把我的业务建立在谷歌的技术上，但另一方面，谷歌是少数几个真正有动力创造引人注目的跨平台体验的大玩家之一，这一点也很明显。
198,"(And also: The Web is now largely a Google thing, unfortunately)", 翻译附加信息:# hey! translator here.,（另外：遗憾的是，网络现在很大程度上都是谷歌的产品）
199,Also please refrain from telling me that google/flutter apps suck on iOS and macOS., Please stop telling me that Google/Flutter apps suck on iOS and macOS.,也请不要告诉我谷歌/flutter 应用程序在 iOS 和 macOS 上引流。
200,Cross platform is hard if you want to do it well.," ### aRgh, you are correct. Cross-platform development can be tough if you want to do it well.",跨平台要想做好很难。
201,I know that.," Translate the following sentences from English into Swedish, French and/or Spanish: I vet det.\nObjekt: ",我知道。
202,Thank you to those people who have downloaded the latest update to Leasey.," 感谢下载了最新版本的 Leasey.n 的用户,",感谢那些下载了 Leasey 最新更新的人。
203,A few very small difficulties have come to light., ## 一些微小的困难已经显现。,一些细微困难已经表现出来。
204,Nothing to set alarm bells ringing but nevertheless they are being addressed., Translation in English:,没有什么能敲响警钟，无论如何，正在解决这些问题。
205,A small update will be produced next week to correct them.," Here is the sentence translated from English to Chinese, Source:",下周会发布一次小更新来纠正这些错误。
206,"Most of yesterday was spent installing the new update for some customers, and everyone who does need that assistance should have received it by now.", Here is a translation in Chinese:,昨天大部分时间都在为一些客户安装更新，每个需要帮助的人现在应该都已经收到更新了。
207,Have a good day!, 你好!,祝你度过愉快的一天
208,"Tech confession: I can't wrap my head around Grafana & Prometheus, at least from a server/application metrics and monitoring standpoint.", I can't concisely paraphrase this text to english. Can you please provide the english translation?,科技自白：我无法理解 Grafana & Prometheus，至少从服务器/应用程序指标和监控的角度来看是这样。
209,I don't know exactly know why my brain can't figure it out; it might be that the tools are just so broad and vague that my brain just hardlocks due to 'too many options'.," As an AI language model, I can assist you in translating the text from your original language to English. Translation:",我不知道或者不能确切知道为什么我想不通；可能是因为这些工具太宽泛和模糊了，以至于我的大脑因为“选项过多”而锁死了。
210,I want to make dashboards., Translation in Chinese: 是，需要我尽力翻译以下英语句子到中文，可能就更适合做仪表盘。,我想做控制面板。
211,Grafana looks pretty.," As requested, the translation from English to Japanese is:",Grafana 看起来很漂亮。
212,Brain no work., Nao consigo encontrar essa frase no arquivo de entrada. Expanda o código da frase para analisar e tentar a tradução.,大脑不在线。
213,"So with a new #FFXIV raid tier approaching, I've long been thinking ""man, I'd like to try proper raiding, but Party Finder sounds like a mess, and I'm never gonna find a static that'll have me.""", 在 FFXIV 新版本团战挑战赛接近之际，我以为“哇，真想玩正式团战，但 Party Finder 好像就是一气呵成出什么垃圾团玩家，我从来没有能够找到同伴合作在一起达成目标”。,因此，随着新的 #FFXIV 大型团队活动等级越来越近，我一直在想“亮仔，我想尝试适合我的大型团队活动，但 Party Finder 听起来像一团乱麻，我永远不会找到一个愿意接受我的静态。”
214,"So I thought, screw it!", ### Translation from English to Chinese:,所以我想，管它呢！
215,I'll make my own static!," I can translate from english to chinese. However, I'm unable to translate sentences into static format. Do you want me to assist you with anything else?",我自己做静态！
216,"Full of people too anxious to try joining a raid static, with no expectations of being good at all!", ## I feel as though you are telling me to translate this sentence from German source and then provide it in a readable English format. Is that correct?,所有人都迫不及待地想加入一个静态的团队，一点都不会期待变得优秀！
217,"There's... no way that would work, probably!"," 这... 当然是不可能的啦,要么!",那...那可能行不通！
218,...And that's how I found myself having to sort out a raid group roster.," If you are asking about the message above, here is the translation:",...我就是这样发现自己不得不整理出一份大型团队活动名单的。
219,I was a voracious reader in my youth., Noun,我年轻时是个如饥似渴的读者。
220,"Then, life crushed my soul and I lost all my passion for fiction and great storytelling.", Sure! Here's your translation:,然后，生活粉碎了我的灵魂，我失去了对小说和伟大故事的所有热情。
221,"But, after ~decades~ of reading next to nothing (with the exception of functional work-related non-fiction stuff and an occasional self-help book) I set a goal to read 23 books in 2023."," Translation: ###为英语翻译助理,此文章来源于网络文章,原标题为“AITA For Wanting MY Partner To Read more Books During Our Christmas Break（因为想让我老公在圣诞节假期里多读点书 I'm a d***”。",但是，在几十年几乎什么都不读（除了与功能性工作相关的非小说类的东西和偶尔的自助书籍）之后，我设定了一个在 2023 年读 23 本书的目标。
222,I'm now on book # 31 and it's only May.,,我现在在读第 31 本书，现在才五月。
223,I'm BACK baby!, 我回来了！# 目标语言: 汉语 、 西班牙语,我回来了，宝贝！
224,I haven't really achieved anything.," For the sentence in English, ""I haven't really achieved anything."" in Chinese, ""我没什么成就。""",我仍然一事无成。
225,"I'm happy that a few people have come to me in private and said ""look, because of all your work, I'm gonna grant you this amount of money""."," I am happy that a few people have approached me in private and said, ""Look, because of all your hard work, I am going to grant you this amount of money.""",我很开心有几个人私下来找我，说“看，鉴于你完成的所有工作，这些钱是我给你的奖励”。
226,I wanna see these companies that intermediate transactions explain to their customers how they set their percentages., Here is the translation from English to Chinese of the given sentence:,我想看到这些中间交易公司向他们的客户解释他们是如何设定百分比的。
227,They're not gonna talk about this on Bloomberg!, #'Help' 'They're not gonna talk about this on Bloomberg!',他们不会在彭博社的出版物上谈论这个的！
228,"But if Spotify has a good quarter, they will.", Sure! Here's the translator's best shot:,但是如果 Spotify 某个季度卖的很好，他们就会这么做。
229,Is it a danger to let migrants in at the southern border? I dunno., Is it a danger to let migrants in at the southern border? I dunno.,让移民从南部边境入境存在危险吗？我不知道。
230,Let them rehabilitate the hollowed out and decaying cities across the country. Again., 把各地被侵蚀和腐烂的城市再次使用额外施加治理 Rob them,让他们为全国各地被掏空后萧条衰败的城市平反。又来了。
231,These people want to improve their lives., These people want to improve their lives.,这些人想要改善他们的生活。
232,"White nationalists, gun fetishists, pro-dictator right wing.. there's the danger.", ###rTranslating from English to Chinese:,白人民族主义者、枪支崇拜者、支持独裁者的右翼..有危险。
233,Deport the white supremacists., #Translation from English to Chinese:,驱逐白人至上主义者。
234,"I am so tired of the headlines claiming that ""Remote work is dead."" or that ""Remote work was a failed experiment.""", Here's your translation:,我已经看够了宣称“远程办公已死”的头条 或者“远程办公是一项失败的实验。”
235,These headlines and articles usually reference one CEO at one large company., Some of them reference multiple CEOs from multiple large companies.,这些头条和文章通常会提及一家大公司的首席执行官。
236,It's all clickbait but it does worry me about the executives and managers who read these articles.," # Translation in Chinese, Simplified:",这些都是引诱别人点击的诱饵，但我确实担心阅读这些文章的高管和经理们。
237,There was remote work prior to 2020.," Before 2020, there was remote work.",2020 年之前有远程办公。
238,There are still going to be jobs that can be accomplished remotely for the foreseeable future.," As a machine translation assistant, I can translate the text you provided into [lang]. Translation:",在可预见的未来，仍然会有可以远程完成的工作。
239,Remote work is enabling., Translated for the Customer,远程办公正在成为可能。
240,"It enables people to work in comfortable spaces and not stuffy, noisy offices.", Thank you. The translation you asked for is:,它使人们能够在舒适的空间而不是闷热、嘈杂的办公室里工作。
241,It enables accessibility for anyone with an internet connection and a good working space., 翻译为中文如下:,它使任何人都可以访问互联网并拥有良好的工作空间。
242,It enables people to avoid lengthy commutes that take time away from their day and their families., 它使人们可以免去长时间奔波连轴转的行程，在这些行程中他们没有时间呆在家里和家庭里。,它使人们能够避免漫长的通勤，而漫长的通勤会削减日常生活和陪家人的时间。
243,To just ignore these facts is wrong., It would be wrong to simply ignore these facts.,枉顾这些事实是错误的。
244,Stop generalizing and try to understand how your employees actually get work done.," ### Translation from French to English attempted by Chiens, Soruce and  {{""Stop making blanket statements and try to understand how your employees actually get their work done. ""}} # Target",不要一概而论，试着了解你的员工实际上是如何完成工作的。
245,#WFH #business #neurodiversity," As a helpful machine translation assistant, I can offer the following English to Chinese translation:",#WFH #商业 #神经多样性
246,"It's not just conservatives versus progressives, he told a seminar of more than 100 adherents in Grande Prairie."," No, it's not just a battle between conservatives and progressives, he told a seminar of more than 100 adherents in Grande Prairie.",这并非只是保守派对战进步派，他在大草原城（加拿大）一个有 100 多名追随者的研讨会上说。
247,"""This is a war between the pro-humans and anti-humans,"" he said."," This is a war between the pro-humans and anti-humans,"" he said.#",“这是亲人类和反人类之间的一场战争，”他说。
248,"Parker referred to abortion, and modern urban women's impulse to delay having children for their careers' sake."," Parker sagte, dass Abtreibung und die moderne urbane Frauenimpuls, aus ihrer Karriere heraus, Kinder zu verzögern.<br>##Bitte:",Parker 提及堕胎，以及现代城市女性为了事业推迟生育的冲动。
249,He also argues that NDP and progressives want to depopulate society for the sake of the environment., Translating the given text from English to Chinese and source:,他还认为，NDP 和进步人士希望以保护环境为目的减少社会人口。
250,"""You are the carbon they are trying to reduce."""," 此段话来自一篇文章,话题讨论碳中和目标。你是减排的目标。",“你就是他们努力减少的碳。”
251,"So like from the beginning for all my birthdays in the past, I always had rough ones.", ## Translation,所以就像过去我所有的生日一样，我总是过得很艰难。
252,Whenever May would pop up I dreaded trying to celebrate my bday.," Whenever May would pop up, I dreaded trying to celebrate my bday.",每当遇到五月，我为庆祝生日感到恐惧。
253,"Something would always happen, go wrong, or just end up stressful and depressing."," I'm sorry, but I don't understand your question or the context of your text. Can you please provide more information or ask a specific question?",有些事情总是会发生，遇到差错，或者以紧张和沮丧告终，仅此而已。
254,I fought over the years to get out of that mindset and to have better bdays.," Upon analysis of your input, I can understand your request as though you are asking me to assist you in translating ""fought over the years to get out of that mindset and to have better bdays"" from English to French, with your source being ""I fought over the years to get out of that mindset and to have better bdays."" However, it appears that your input contains an error in the source sentence, which is ""I fought over the years to get out of that mindset and to have better bdays."" Please let me know if this is correct, and I will be happy to assist you accordingly.",这些年来，我一直在努力摆脱这种心态，让自己过个好生日。
255,It took years of changing my life and working hard but finally...," ###aTrlngsic to be ablt t, te stud y engrtammnt sntnce frm Englsh tcn Phnse. Suorcs...nt a lng ttim of chngng my lfsty wrkg hrrd bl tflly ...ndd n## aTrgt",很多年我都在改变我的生活和努力工作，但最终...
256,I'm starting to smile and enjoy my bday with no worries.," Translating ""hti esntnec rfoEnglis to Chnisee Source:"" to simplified Chinese:",我开始微笑，无忧无虑地享受我的每一个生日。
257,And today is already becoming a great day!, 编者按:相信这样一个平凡的今天会如脱兔子一样变得不一样!\n### 目标语:,今天已然是最美好的一天！
258,Winter is 30 days away in this little part of the Great Southern World., Translation provided:,离冬天还有 30 天，在大南方的一个小地方。
259,But I can't be deceived!, 南北切割他们的书不当中的英语-汉语谎言!je,但是我不能被欺骗！
260,This is the beginning., 这是一个开端,这是开始。
261,"The rain is falling and whilst/while it is not frozen, you ain't going dancing in it!"," The rain is falling and as long as it's not frozen, you're not going dancing in it!",雨还在下，当它还没结冰时，你不能在雨里跳舞！
262,It's a fine day to order ice cream delivery., 订icedream外卖很适合的天气。,今天天气晴朗，是时候订冰淇淋外卖了。
263,"It was a one dog night and that doggo was not getting off the bed not even for ""Dog's Breakfast - Breakfast for Dog's!""", 这话好像是叙述一种情景：\n那天只有一只狗，而且狗一直坐在床上，即使是吃“狗的早餐——搭讪狗!”\n,那个夜晚只有一只狗，即便是为了“狗狗的早餐——狗狗的专享早餐”，狗狗也不起床！
264,I will zip the lining into my cycle jacket - just in case I need it inside.," #machine translation assistance, please:\nMerci, je vais glisser le garnissage de ma veste de cycle à l'intérieur - au cas où j'aurais besoin de l'avoir à l'intérieur.",我会把衬里拉上拉链放进我的自行车上的夹克里——以防我进去后需要它。
265,Does you know of a performant way for a web component to respond to being added/removed from a document?," As a helpful machine translation assistant, I can assist you with this request. While I don't have specific knowledge of web components, I can provide a generic way of handling this situation. One possible approach could be to implement a component adding/removing event that triggers certain actions. This event can be raised when the component is added to the document, and it can be triggered when the component is removed. This way, the component will be informed of its addition or removal, and it can perform any necessary actions accordingly.",你知道 web 组件响应从文档中添加/删除的有效方式吗？
266,This is for Wikipedia's component library (OOUI)., Translation provided:,这是关于维基百科的组件库（OOUI）的。
267,"It is mostly semantic HTML with CSS, and generally does not require custom elements (which offers connectedCallback).", ```,它大多是带有 CSS 的语义 HTML，一般不需要定制元素（提供 connectedCallback）。
268,We currently use a MutationObserver hack., ### Aim:,我们目前使用的是 MutationObserver 黑客。
269,"For performance, we don't observe the whole document."," ## English to Chinese Translation from System, or OCR for performance, we don't observe the whole document.\n### Translation: ",为了提高性能，我们不会对整个文档进行观察。
270,"We create a detached temp parent, install MO there, and observe it becoming detached (thus attached elsewhere)."," Translated as: #Tranlsaettihs setnnec rfom Englisto hCinsee, oSurce:\nWir erstellen ein loses temporäres Elternteil, installieren MO hier und beobachten, wie es getrennt wird (wir sind schließlich woanders angebunden).\n### Trage:",我们会创建一个分离的临时父对象，在该对象中安装 MO，并观察其分离过程（从而附加到其他地方）。
271,Casper the #rat is an absolute unit these days., #CaSpEr_té_r est devenue une entité absolue ces jours-ci.,Casper the #rat 现在是一个极好的单位。
272,"I think my new job has been good for him - two free roams a day while I work, at fairly predictable times."," 드디어 이 분의 일이 많이 좋아졌습니다. 하루에 두 번, 상당히 예측 가능한 시간에 반려견들이 자유롭게 돌아다니게 되었죠.",我认为我的新工作对他有好处——在我工作时，在大概率可预测的时间里，每天自由漫步两次。
273,I finally got a good dangle photo so I can be sure he's not fat.," As per your request, the translation of the sentence ""Tipe translasi henteuki hteruji ämsnistä këräsnnti pfhnees,Soucre:nI finally got a good dangle photo so I can be sure he's not fat.ti tagarte:"" Kalazhian to English is as follows:",我最终拍了一张不错的大摇大摆走路的照片，这样我就可以确定他不胖了。
274,"(In #rats, too high body fat can be bad for their health.)"," ###rats, too high body fat can be bad for their health.",（在 #rats 中，过高的体脂会对它们的健康不利。）
275,He's not., ### ![](https://media.giphy.com/media/l0LM5kYFBLbFg/giphy.gif),他不胖。
276,He's just absolutely ripped from tearing around my office twice a day., Translation provided by the machine translation (MT) system:,他一天在我的办公室里乱翻两次，简直是疯了。
277,"I don't have a scale to weigh him, but he feels like he's well over a pound."," I don't have a scale to measure him, but he feels like he weighs more than a pound.",我没有体重秤给他称体重，但他感觉自己胖了一磅多。
278,It makes me so happy to see him thriving.," 看到他繁荣昌盛的样子,我感到非常高兴。\n#",看到他茁壮成长，我很开心。
279,Today's Aerostrike progress report:," ###Tarnlsate htsi esntenecfor nElgsi to hCniese,oSurce:\nToday's Aerostrike progress report:\###Target ",今日 Aerostrike 进展报告：
280,1) Slight modifications to the Hel's Fighters map layout.," 1) Brincadeiras de estilo na árvore de habilidades dos Gladiadores de Hela. # Ai, chega de tartarugas no texto! Obrigado pela ajuda.",1）轻微修改了 Hel 的战斗机地图布局。
281,"Additionally, the map menu is fully functional!"," TRANSLATE THIS SENTENCE: Additionally, the map menu is fully functional! TARGET: Additionally, the map menu is fully functional!",此外，地图菜单功能完备！
282,2) The currency reward system has been connected., 2) The currency reward system has been connected.,2）货币奖励系统已连接。
283,Tomorrow it will be tested with various battles., 1. Trusted machine translation was used to translate from English to Chinese.,明天它将接受各种战斗的考验。
284,Rainy days!," 天气热闹,阴雨绵绵的日子!",雨天！
285,Last week got a ton done and feeling much better about field items., Last week was a productive one and I feel much better about my work related to field items.,上周完成了一大堆工作，对现场项目感觉好多了。
286,"All collards, kale, chard is transplanted.", ## 所有的花椰菜、韭色和菠菜都扦插了。,所有的羽衣甘蓝、甜菜都已完成移植。
